t_s,arrival_rate,admitted_rate,deferred_rate,service_rate,depth,depth_critical,depth_deferrable,oldest_age_s,oldest_age_critical_s,oldest_age_deferrable_s,downstream_in_flight,downstream_response_ms,downstream_saturated
0.0,5000,5000.0,0.0,3646.6,135.3,0.0,135.3,0.0,0.0,0.0,600,99.21,True
1.0,5000,5000.0,0.0,3646.6,1488.7,426.7,1062.0,0.3,0.1,0.3,600,99.21,True
2.0,5000,5000.0,0.0,3646.6,2842.1,1218.0,1624.1,0.5,0.5,0.5,600,99.21,True
3.0,5000,5000.0,0.0,3646.6,4195.5,2009.4,2186.1,0.8,0.8,0.7,600,99.21,True
4.0,5000,5000.0,0.0,3646.6,5548.8,2436.1,3112.8,1.1,1.0,1.1,600,99.21,True
5.0,5000,5000.0,0.0,3646.6,6902.2,2862.8,4039.5,1.4,1.2,1.4,600,99.21,True
6.0,5000,5000.0,0.0,3646.6,8255.6,3654.1,4601.5,1.6,1.6,1.6,600,99.21,True
7.0,5000,5000.0,0.0,3646.6,9609.0,4445.5,5163.5,1.9,1.9,1.8,600,99.21,True
8.0,5000,5000.0,0.0,3646.6,10962.4,4872.2,6090.2,2.2,2.1,2.2,600,99.21,True
9.0,5000,5000.0,0.0,3646.6,12315.7,5298.8,7016.9,2.5,2.3,2.5,600,99.21,True
10.0,5000,5000.0,0.0,3646.6,13669.1,6090.2,7578.9,2.7,2.7,2.7,600,99.21,True
11.0,5000,5000.0,0.0,3646.6,15022.5,6516.9,8505.6,3.0,2.8,3.0,600,99.21,True
12.0,5000,5000.0,0.0,3646.6,16375.9,7308.2,9067.6,3.2,3.2,3.2,600,99.21,True
13.0,5000,5000.0,0.0,3646.6,17729.2,8099.6,9629.6,3.5,3.5,3.5,600,99.21,True
14.0,5000,5000.0,0.0,3646.6,19082.6,8526.3,10556.3,3.8,3.7,3.8,600,99.21,True
15.0,5000,5000.0,0.0,3646.6,20436.0,8953.0,11483.0,4.1,3.9,4.1,600,99.21,True
16.0,5000,5000.0,0.0,3646.6,21789.4,9744.3,12045.1,4.3,4.3,4.3,600,99.21,True
17.0,5000,5000.0,0.0,3646.6,23142.7,10535.7,12607.1,4.6,4.6,4.5,600,99.21,True
18.0,5000,5000.0,0.0,3646.6,24496.1,10962.4,13533.8,4.9,4.8,4.9,600,99.21,True
19.0,5000,5000.0,0.0,3646.6,25849.5,11389.0,14460.5,5.2,5.0,5.2,600,99.21,True
20.0,5000,5000.0,0.0,3646.6,27202.9,12180.4,15022.5,5.4,5.4,5.4,600,99.21,True
21.0,5000,5000.0,0.0,3646.6,28556.2,12607.1,15949.2,5.7,5.6,5.7,600,99.21,True
22.0,5000,5000.0,0.0,3646.6,29909.6,13398.4,16511.2,6.0,5.9,6.0,600,99.21,True
23.0,5000,5000.0,0.0,3646.6,31263.0,13825.1,17437.9,6.3,6.1,6.3,600,99.21,True
24.0,5000,5000.0,0.0,3646.6,32616.4,14616.5,17999.9,6.5,6.4,6.5,600,99.21,True
25.0,5000,5000.0,0.0,3646.6,33969.8,15043.2,18926.6,6.8,6.6,6.8,600,99.21,True
26.0,5000,5000.0,0.0,3646.6,35323.1,15834.5,19488.6,7.0,7.0,7.0,600,99.21,True
27.0,5000,5000.0,0.0,3646.6,36676.5,16625.9,20050.6,7.3,7.3,7.2,600,99.21,True
28.0,5000,5000.0,0.0,3646.6,38029.9,17052.5,20977.3,7.6,7.5,7.6,600,99.21,True
29.0,5000,5000.0,0.0,3646.6,39383.3,17479.2,21904.0,7.9,7.7,7.9,600,99.21,True
30.0,5000,5000.0,0.0,3646.6,40736.6,18270.6,22466.1,8.1,8.1,8.1,600,99.21,True
31.0,5000,5000.0,0.0,3646.6,42090.0,19061.9,23028.1,8.4,8.4,8.3,600,99.21,True
32.0,5000,5000.0,0.0,3646.6,43443.4,19488.6,23954.8,8.7,8.6,8.7,600,99.21,True
33.0,5000,5000.0,0.0,3646.6,44796.8,19915.3,24881.5,9.0,8.8,9.0,600,99.21,True
34.0,5000,5000.0,0.0,3646.6,46150.1,20706.7,25443.5,9.2,9.2,9.2,600,99.21,True
35.0,5000,5000.0,0.0,3646.6,47503.5,21133.4,26370.2,9.5,9.3,9.5,600,99.21,True
36.0,5000,5000.0,0.0,3646.6,48856.9,21924.7,26932.2,9.7,9.7,9.7,600,99.21,True
37.0,5000,5000.0,0.0,3646.6,50210.3,22716.1,27494.2,10.0,10.0,9.9,600,99.21,True
38.0,5000,5000.0,0.0,3646.6,51563.6,23142.7,28420.9,10.3,10.2,10.3,600,99.21,True
39.0,5000,5000.0,0.0,3646.6,52917.0,23569.4,29347.6,10.6,10.4,10.6,600,99.21,True
40.0,5000,5000.0,0.0,3646.6,54270.4,24360.8,29909.6,10.8,10.8,10.8,600,99.21,True
41.0,5000,5000.0,0.0,3646.6,55623.8,25152.1,30471.6,11.1,11.1,11.0,600,99.21,True
42.0,5000,5000.0,0.0,3646.6,56977.2,25578.8,31398.3,11.4,11.3,11.4,600,99.21,True
43.0,5000,5000.0,0.0,3646.6,58330.5,26005.5,32325.0,11.7,11.5,11.7,600,99.21,True
44.0,5000,5000.0,0.0,3646.6,59683.9,26796.9,32887.1,11.9,11.9,11.9,600,99.21,True
45.0,5000,5000.0,0.0,3646.6,61037.3,27223.5,33813.7,12.2,12.0,12.2,600,99.21,True
46.0,5000,5000.0,0.0,3646.6,62390.7,28014.9,34375.8,12.5,12.4,12.5,600,99.21,True
47.0,5000,5000.0,0.0,3646.6,63744.0,28441.6,35302.5,12.8,12.6,12.8,600,99.21,True
48.0,5000,5000.0,0.0,3646.6,65097.4,29232.9,35864.5,13.0,12.9,13.0,600,99.21,True
49.0,5000,5000.0,0.0,3646.6,66450.8,29659.6,36791.2,13.3,13.1,13.3,600,99.21,True
50.0,5000,5000.0,0.0,3646.6,67804.2,30451.0,37353.2,13.5,13.5,13.5,600,99.21,True
51.0,5000,5000.0,0.0,3646.6,69157.5,31242.3,37915.2,13.8,13.8,13.7,600,99.21,True
52.0,5000,5000.0,0.0,3646.6,70510.9,31669.0,38841.9,14.1,14.0,14.1,600,99.21,True
53.0,5000,5000.0,0.0,3646.6,71864.3,32095.7,39768.6,14.4,14.2,14.4,600,99.21,True
54.0,5000,5000.0,0.0,3646.6,73217.7,32887.1,40330.6,14.6,14.6,14.6,600,99.21,True
55.0,5000,5000.0,0.0,3646.6,74571.1,33678.4,40892.6,14.9,14.9,14.8,600,99.21,True
56.0,5000,5000.0,0.0,3646.6,75924.4,34105.1,41819.3,15.2,15.1,15.2,600,99.21,True
57.0,5000,5000.0,0.0,3646.6,77277.8,34531.8,42746.0,15.5,15.3,15.5,600,99.21,True
58.0,5000,5000.0,0.0,3646.6,78631.2,35323.1,43308.1,15.7,15.6,15.7,600,99.21,True
59.0,5000,5000.0,0.0,3646.6,79984.6,35749.8,44234.7,16.0,15.8,16.0,600,99.21,True
60.0,5000,5000.0,0.0,3646.6,81337.9,36541.2,44796.8,16.2,16.2,16.2,600,99.21,True
61.0,5000,5000.0,0.0,3646.6,82691.3,37332.5,45358.8,16.5,16.5,16.4,600,99.21,True
62.0,5000,5000.0,0.0,3646.6,84044.7,37759.2,46285.5,16.8,16.7,16.8,600,99.21,True
63.0,5000,5000.0,0.0,3646.6,85398.1,38185.9,47212.2,17.1,16.9,17.1,600,99.21,True
64.0,5000,5000.0,0.0,3646.6,86751.4,38977.2,47774.2,17.3,17.3,17.3,600,99.21,True
65.0,5000,5000.0,0.0,3646.6,88104.8,39768.6,48336.2,17.6,17.6,17.5,600,99.21,True
66.0,5000,5000.0,0.0,3646.6,89458.2,40195.3,49262.9,17.9,17.8,17.9,600,99.21,True
67.0,5000,5000.0,0.0,3646.6,90811.6,40622.0,50189.6,18.2,18.0,18.2,600,99.21,True
68.0,5000,5000.0,0.0,3646.6,92164.9,41413.3,50751.6,18.4,18.4,18.4,600,99.21,True
69.0,5000,5000.0,0.0,3646.6,93518.3,41840.0,51678.3,18.7,18.5,18.7,600,99.21,True
70.0,5000,5000.0,0.0,3646.6,94871.7,42631.4,52240.3,18.9,18.9,18.9,600,99.21,True
71.0,5000,5000.0,0.0,3646.6,96225.1,43422.7,52802.4,19.2,19.2,19.2,600,99.21,True
72.0,5000,5000.0,0.0,3646.6,97578.5,43849.4,53729.1,19.5,19.4,19.5,600,99.21,True
73.0,5000,5000.0,0.0,3646.6,98931.8,44276.1,54655.7,19.8,19.6,19.8,600,99.21,True
74.0,5000,5000.0,0.0,3646.6,100285.2,45067.4,55217.8,20.0,20.0,20.0,600,99.21,True
75.0,5000,5000.0,0.0,3646.6,101638.6,45858.8,55779.8,20.3,20.3,20.2,600,99.21,True
76.0,5000,5000.0,0.0,3646.6,102992.0,46285.5,56706.5,20.6,20.5,20.6,600,99.21,True
77.0,5000,5000.0,0.0,3646.6,104345.3,46712.2,57633.2,20.9,20.7,20.9,600,99.21,True
78.0,5000,5000.0,0.0,3646.6,105698.7,47503.5,58195.2,21.1,21.1,21.1,600,99.21,True
79.0,5000,5000.0,0.0,3646.6,107052.1,47930.2,59121.9,21.4,21.3,21.4,600,99.21,True
80.0,5000,5000.0,0.0,3646.6,108405.5,48721.6,59683.9,21.7,21.6,21.7,600,99.21,True
81.0,5000,5000.0,0.0,3646.6,109758.8,49148.2,60610.6,22.0,21.8,22.0,600,99.21,True
82.0,5000,5000.0,0.0,3646.6,111112.2,49939.6,61172.6,22.2,22.1,22.2,600,99.21,True
83.0,5000,5000.0,0.0,3646.6,112465.6,50366.3,62099.3,22.5,22.3,22.5,600,99.21,True
84.0,5000,5000.0,0.0,3646.6,113819.0,51157.6,62661.3,22.7,22.7,22.7,600,99.21,True
85.0,5000,5000.0,0.0,3646.6,115172.3,51949.0,63223.4,23.0,23.0,22.9,600,99.21,True
86.0,5000,5000.0,0.0,3646.6,116525.7,52375.7,64150.1,23.3,23.2,23.3,600,99.21,True
87.0,5000,5000.0,0.0,3646.6,117879.1,52802.4,65076.7,23.6,23.4,23.6,600,99.21,True
88.0,5000,5000.0,0.0,3646.6,119232.5,53593.7,65638.8,23.8,23.8,23.8,600,99.21,True
